chr	gene_id	gene_name	start	end	gene_type
1	ENSG00000223972.4	DDX11L1	11869	14412	pseudogene
1	ENSG00000227232.4	WASH7P	14363	29806	pseudogene
1	ENSG00000243485.2	MIR1302-11	29554	31109	lincRNA
1	ENSG00000237613.2	FAM138A	34554	36081	lincRNA
1	ENSG00000268020.2	OR4G4P	52473	54936	pseudogene
1	ENSG00000240361.1	OR4G11P	62948	63887	pseudogene
1	ENSG00000186092.4	OR4F5	69091	70008	protein_coding
1	ENSG00000238009.2	RP11-34P13.7	89295	133566	lincRNA
1	ENSG00000239945.1	RP11-34P13.8	89551	91105	lincRNA
1	ENSG00000233750.3	CICP27	131025	134836	pseudogene
1	ENSG00000237683.5	AL627309.1	134901	139379	protein_coding
1	ENSG00000268903.1	RP11-34P13.15	135141	135895	pseudogene
1	ENSG00000269981.1	RP11-34P13.16	137682	137965	pseudogene
1	ENSG00000239906.1	RP11-34P13.14	139790	140339	antisense
1	ENSG00000241860.2	RP11-34P13.13	141474	173862	processed_transcript
1	ENSG00000222623.1	RNU6-1100P	157784	157887	snRNA
1	ENSG00000241599.1	RP11-34P13.9	160446	161525	lincRNA
1	ENSG00000228463.4	AP006222.2	227615	267253	lincRNA
1	ENSG00000241670.2	AP006222.1	228292	228775	pseudogene
1	ENSG00000237094.6	RP4-669L17.10	317720	453948	lincRNA
1	ENSG00000250575.1	RP4-669L17.8	326096	328112	pseudogene
1	ENSG00000233653.3	CICP7	329431	332236	pseudogene
1	ENSG00000224813.2	RP4-669L17.4	334126	334305	pseudogene
1	ENSG00000235249.1	OR4F29	367640	368634	protein_coding
1	ENSG00000269732.1	WBP1LP7	379105	379467	pseudogene
1	ENSG00000256186.1	AL732372.1	450820	450910	pseudogene
1	ENSG00000236601.1	RP4-669L17.2	453633	460480	lincRNA
1	ENSG00000236743.1	RP5-857K21.15	459656	461954	lincRNA
1	ENSG00000236679.2	RP4-669L17.1	470971	471355	pseudogene
1	ENSG00000231709.1	RP5-857K21.1	521369	523833	lincRNA
1	ENSG00000235146.2	RP5-857K21.2	523009	530148	lincRNA
1	ENSG00000239664.2	RP5-857K21.3	529833	532878	lincRNA
1	ENSG00000230021.2	RP5-857K21.4	536816	741274	lincRNA
1	ENSG00000223659.1	RP5-857K21.5	562757	564390	lincRNA
1	ENSG00000225972.1	MTND1P23	564442	564813	pseudogene
1	ENSG00000225630.1	MTND2P28	565020	566063	pseudogene
1	ENSG00000237973.1	hsa-mir-6723	566454	567996	pseudogene
1	ENSG00000229344.1	RP5-857K21.7	568137	568818	pseudogene
